----------------------------------------------------------------------------------------------------
Loaded from: mnist_q.pth
----------------------------------------------------------------------------------------------------
BASELINE
Test set: Average loss: 0.0503, Accuracy: 9856/10000 (99%)
MnistNetwork(
  (conv1): Conv2d(1, 10, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(10, 20, kernel_size=(5, 5), stride=(1, 1))
  (conv2_drop): Dropout2d(p=0.5)
  (fc1): Linear(in_features=320, out_features=50, bias=True)
  (fc2): Linear(in_features=50, out_features=10, bias=True)
)
FLOPS: 935040.0
Episode: 8 | Iteration: 9 | Acc.: 0.8164 | FLOPS: 188032.0
Episode: 9 | Iteration: 0 | Acc.: 0.9411 | FLOPS: 561536.0
Episode: 9 | Iteration: 1 | Acc.: 0.3881 | FLOPS: 468160.0
Episode: 9 | Iteration: 2 | Acc.: 0.6968 | FLOPS: 374784.0
Episode: 9 | Iteration: 3 | Acc.: 0.8245 | FLOPS: 654912.0
Episode: 9 | Iteration: 4 | Acc.: 0.8653 | FLOPS: 468160.0
Episode: 9 | Iteration: 5 | Acc.: 0.7725 | FLOPS: 281408.0
Episode: 9 | Iteration: 6 | Acc.: 0.9183 | FLOPS: 561536.0
Episode: 9 | Iteration: 7 | Acc.: 0.383 | FLOPS: 281408.0
Episode: 9 | Iteration: 8 | Acc.: 0.4044 | FLOPS: 188032.0
Episode: 9 | Iteration: 9 | Acc.: 0.783 | FLOPS: 374784.0
Episode: 10 | Iteration: 0 | Acc.: 0.6482 | FLOPS: 468160.0
Episode: 10 | Iteration: 1 | Acc.: 0.5457 | FLOPS: 94656.0
Episode: 10 | Iteration: 2 | Acc.: 0.5815 | FLOPS: 374784.0
Episode: 10 | Iteration: 3 | Acc.: 0.7104 | FLOPS: 374784.0
Episode: 10 | Iteration: 4 | Acc.: 0.9183 | FLOPS: 561536.0
Episode: 10 | Iteration: 5 | Acc.: 0.8022 | FLOPS: 561536.0
Episode: 10 | Iteration: 6 | Acc.: 0.9807 | FLOPS: 748288.0
Episode: 10 | Iteration: 7 | Acc.: 0.8099 | FLOPS: 374784.0
Episode: 10 | Iteration: 8 | Acc.: 0.8551 | FLOPS: 561536.0
Episode: 10 | Iteration: 9 | Acc.: 0.5551 | FLOPS: 374784.0
Episode: 11 | Iteration: 0 | Acc.: 0.6649 | FLOPS: 374784.0
Episode: 11 | Iteration: 1 | Acc.: 0.3568 | FLOPS: 468160.0
Episode: 11 | Iteration: 2 | Acc.: 0.9445 | FLOPS: 561536.0
Episode: 11 | Iteration: 3 | Acc.: 0.4953 | FLOPS: 374784.0
Episode: 11 | Iteration: 4 | Acc.: 0.9135 | FLOPS: 561536.0
Episode: 11 | Iteration: 5 | Acc.: 0.6086 | FLOPS: 374784.0
Episode: 11 | Iteration: 6 | Acc.: 0.6746 | FLOPS: 281408.0
Episode: 11 | Iteration: 7 | Acc.: 0.4056 | FLOPS: 468160.0
